city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Límni,38.7659,23.3195,Greece,GR,Stereá Elláda,minor,,
Leipsoí,37.2959,26.7695,Greece,GR,Notío Aigaío,minor,,
Megísti,36.1483,29.5917,Greece,GR,Notío Aigaío,minor,,
Oinoússes,38.5158,26.2225,Greece,GR,Voreío Aigaío,minor,,
Skópelos,39.1217,23.7276,Greece,GR,Thessalía,minor,,
Spíli,35.2168,24.5361,Greece,GR,Kríti,minor,,
Áno Sýros,37.4512,24.9356,Greece,GR,Notío Aigaío,minor,,
Prámanta,39.5220,21.0986,Greece,GR,Ípeiros,minor,,
Sými,36.6145,27.8362,Greece,GR,Notío Aigaío,minor,,
Rodolívos,40.9211,23.9746,Greece,GR,Kentrikí Makedonía,minor,,
Áno Viánnos,35.0539,25.4100,Greece,GR,Kríti,minor,,
Palaióchora,35.2313,23.6813,Greece,GR,Kríti,minor,,
Apollonía,36.9744,24.7240,Greece,GR,Notío Aigaío,minor,,
Agía Kyriakí,39.5226,20.8836,Greece,GR,Ípeiros,minor,,
Foúrnoi,37.5768,26.4815,Greece,GR,Voreío Aigaío,minor,,
Argalastí,39.2261,23.2173,Greece,GR,Thessalía,minor,,
Ýdra,37.3469,23.4657,Greece,GR,Attikí,minor,,
Asklipieío,37.5975,23.0747,Greece,GR,Peloponnísos,minor,,
Deskáti,39.9253,21.8102,Greece,GR,Dytikí Makedonía,minor,,
Makrychóri,39.8042,22.4923,Greece,GR,Thessalía,minor,,
Agía Foteiní,35.2542,24.6342,Greece,GR,Kríti,minor,,
Folégandros,36.6280,24.9199,Greece,GR,Notío Aigaío,minor,,
Vrýses,35.4545,23.6004,Greece,GR,Kríti,minor,,
Mandráki,36.6104,27.1322,Greece,GR,Notío Aigaío,minor,,
Antíparos,37.0404,25.0819,Greece,GR,Notío Aigaío,minor,,
Anógeia,35.2907,24.8834,Greece,GR,Kríti,minor,,
Morfovoúni,39.3525,21.7504,Greece,GR,Thessalía,minor,,
Kýthira,36.1492,22.9880,Greece,GR,Attikí,minor,,
Lidoríki,38.5274,22.2051,Greece,GR,Stereá Elláda,minor,,
Alónnisos,39.1494,23.8454,Greece,GR,Thessalía,minor,,
Sérifos,37.1550,24.5064,Greece,GR,Notío Aigaío,minor,,
Íos,36.7233,25.2825,Greece,GR,Notío Aigaío,minor,,
Vourgaréli,39.3717,21.1833,Greece,GR,Ípeiros,minor,,
Kímolos,36.7937,24.5739,Greece,GR,Notío Aigaío,minor,,
Samothráki,40.4743,25.5251,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Frý,35.4162,26.9231,Greece,GR,Notío Aigaío,minor,,
Kýthnos,37.4123,24.4310,Greece,GR,Notío Aigaío,minor,,
Kerasochóri,39.0045,21.6390,Greece,GR,Stereá Elláda,minor,,
Ioulída,37.6397,24.3423,Greece,GR,Notío Aigaío,minor,,
Chálki,36.2226,27.6113,Greece,GR,Notío Aigaío,minor,,
Megálo Chorió,37.4578,26.9724,Greece,GR,Notío Aigaío,minor,,
Astypálaia,36.5479,26.3520,Greece,GR,Notío Aigaío,minor,,
Asprángeloi,39.8226,20.7276,Greece,GR,Ípeiros,minor,,
Dimitsána,37.5957,22.0395,Greece,GR,Peloponnísos,minor,,
Anthiró,39.3473,21.4586,Greece,GR,Thessalía,minor,,
Amorgós,36.8318,25.8983,Greece,GR,Notío Aigaío,minor,,
Áno Kalentíni,39.2515,21.1679,Greece,GR,Ípeiros,minor,,
Psará,38.5414,25.5630,Greece,GR,Voreío Aigaío,minor,,
Mílos,36.7436,24.4225,Greece,GR,Notío Aigaío,minor,,
Laimós,40.8359,21.1404,Greece,GR,Dytikí Makedonía,minor,,
Megálo Chorió,36.4551,27.3469,Greece,GR,Notío Aigaío,minor,,
Anáfi,36.3509,25.7671,Greece,GR,Notío Aigaío,minor,,
Ágios Efstrátios,39.5391,24.9904,Greece,GR,Voreío Aigaío,minor,,
Síkinos,36.6965,25.1199,Greece,GR,Notío Aigaío,minor,,
Chóra Sfakíon,35.2018,24.1398,Greece,GR,Kríti,minor,,
Nestório,40.4134,21.0612,Greece,GR,Dytikí Makedonía,minor,,
Paranésti,41.2668,24.5020,Greece,GR,Anatolikí Makedonía kai Thráki,minor,,
Kastrí,34.8345,24.0864,Greece,GR,Kríti,minor,,
